Id	CAS	SMILES	Status	Experimental value	Predicted value
1	N.A.	O=CC	Training	Carcinogen	Possible NON-Carcinogen
2	N.A.	ON=CC	Training	NON-Carcinogen	Carcinogen
3	N.A.	O=C(N)C	Training	Carcinogen	Possible NON-Carcinogen
4	N.A.	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Training	NON-Carcinogen	Possible NON-Carcinogen
5	N.A.	O=[N+]([O-])c1oc(cc1)c2cnc(NN=C(C)C)s2	Training	Carcinogen	Carcinogen
6	N.A.	N#CC	Training	NON-Carcinogen	Possible NON-Carcinogen
7	N.A.	ON=C(C)C	Training	Carcinogen	Carcinogen
8	N.A.	O=C(OC(C=C)c1ccc2OCOc2(c1))C	Training	Carcinogen	Carcinogen
9	N.A.	O=C(Nc1ccc(cc1)c2ccccc2)C	Training	Carcinogen	Carcinogen
10	N.A.	O=C(Nc2cccc3c1ccccc1Cc23)C	Training	NON-Carcinogen	Carcinogen
11	N.A.	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	Carcinogen	Carcinogen
12	N.A.	O=C(Nc1cccc3c1c2ccccc2C3)C	Training	NON-Carcinogen	Carcinogen
13	N.A.	O=C(O)Cc1ccc(cc1)NC(=O)C	Training	NON-Carcinogen	Carcinogen
14	N.A.	O=C(O)C(NC(=O)C)CS	Training	NON-Carcinogen	Possible NON-Carcinogen
15	N.A.	O=CC=C	Training	NON-Carcinogen	Possible NON-Carcinogen
16	N.A.	O(CC)C(OCC)C=C	Training	NON-Carcinogen	Possible NON-Carcinogen
17	N.A.	ON=CC=C	Training	NON-Carcinogen	Carcinogen
18	N.A.	O=C2c1ccccc1N(c3c4C=CC(Oc4(cc(OC)c23))(C)C)C	Training	Carcinogen	Carcinogen
19	N.A.	O=C(N)C=C	Training	Carcinogen	Possible NON-Carcinogen
20	N.A.	O=C(O)C=C	Training	NON-Carcinogen	Possible NON-Carcinogen
21	N.A.	N#CC=C	Training	Carcinogen	Possible NON-Carcinogen
22	N.A.	O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C	Training	Carcinogen	Carcinogen
23	N.A.	O=C(N)CCCCC(=O)N	Training	NON-Carcinogen	Possible NON-Carcinogen
24	N.A.	O=C(N)C(=Cc1oc(cc1)[N+](=O)[O-])c2occc2	Training	Carcinogen	Carcinogen
25	N.A.	O=C4Oc2c(c(OC)cc1OC3OC=CC3(c12))C5=C4C(O)CC5	Training	Carcinogen	Carcinogen
26	N.A.	O=C4Oc2c(c(OC)cc1OC3OC=CC3(c12))C5=C4C(=O)CC5	Training	Carcinogen	Carcinogen
27	N.A.	O=C(O)Cc1ccc(OCC=C)c(c1)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
28	N.A.	O=C(ON=CC(C)(C)SC)NC	Training	NON-Carcinogen	Carcinogen
29	N.A.	O=C(N)NC1NC(=O)NC1(=O)	Training	NON-Carcinogen	Possible NON-Carcinogen
30	N.A.	OCC=C	Training	NON-Carcinogen	Possible NON-Carcinogen
31	N.A.	O(CC=C)CC1OC1	Training	NON-Carcinogen	Carcinogen
32	N.A.	C(=NCC=C)=S	Training	Carcinogen	Possible NON-Carcinogen
33	N.A.	O=C(OCC=C)CC(C)C	Training	Carcinogen	Possible NON-Carcinogen
34	N.A.	O=NN(C(=O)N)CC=C	Training	Carcinogen	Carcinogen
35	N.A.	O=C1c3ccccc3(C(=O)c2c1c(N)c(cc2Br)Br)	Training	Carcinogen	Carcinogen
36	N.A.	O=C(Nc1ccc(OCC)c(N)c1)C	Training	NON-Carcinogen	Carcinogen
37	N.A.	O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	Training	Carcinogen	Carcinogen
38	N.A.	O=[N+]([O-])c1oc(cc1)c2nnc(o2)N	Training	Carcinogen	Carcinogen
39	N.A.	O=[N+]([O-])c1oc(cc1)c2nnc(N)s2	Training	Carcinogen	Carcinogen
40	N.A.	O=[N+]([O-])c1oc(cc1)c2nc(N)sc2	Training	Carcinogen	Carcinogen
41	N.A.	O=[N+]([O-])c1ccc(O)c(N)c1	Training	Carcinogen	Carcinogen
42	N.A.	O=[N+]([O-])c1ccc(N)c(O)c1	Training	Carcinogen	Carcinogen
43	N.A.	O=[N+]([O-])c1cc(N)ccc1(O)	Training	Carcinogen	Carcinogen
44	N.A.	O=[N+]([O-])c1cnc(N)s1	Training	Carcinogen	Carcinogen
45	N.A.	O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	Training	Carcinogen	Carcinogen
46	N.A.	N(=Nc1ccccc1C)c2ccc(N)c(c2)C	Training	Carcinogen	Carcinogen
47	N.A.	O=C(O)CCCCCN	Training	NON-Carcinogen	Possible NON-Carcinogen
48	N.A.	O=C(O)CC1(CN)(CCCCC1)	Training	Carcinogen	Possible NON-Carcinogen
49	N.A.	n1cnc(N)[nH]1	Training	Carcinogen	Carcinogen
50	N.A.	O=C(O)CCCCCCCCCCN	Training	Carcinogen	Possible NON-Carcinogen
51	N.A.	O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
52	N.A.	O=NN(C(=O)N)CCCCC	Training	Carcinogen	Carcinogen
53	N.A.	O(c1ccc(cc1)C=CC)C	Training	NON-Carcinogen	Possible NON-Carcinogen
54	N.A.	n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
55	N.A.	Nc1ccccc1	Training	NON-Carcinogen	Possible NON-Carcinogen
56	N.A.	O=C(O)c1ccccc1(N)	Training	NON-Carcinogen	Carcinogen
57	N.A.	O=S(OCCCl)OC(C)COc1ccc(cc1)C(C)(C)C	Training	Carcinogen	Carcinogen
58	N.A.	O=C1C(O)=C(O)OC1C(O)CO	Training	NON-Carcinogen	Possible NON-Carcinogen
