Id	CAS	SMILES	Status	Experimental value	Predicted value
1	75-07-0	O=CC	Training	Carcinogen	Carcinogen
2	107-29-9	ON=CC	Training	NON-Carcinogen	NON-Carcinogen
3	60-35-5	O=C(N)C	Training	Carcinogen	Carcinogen
4	968-81-0	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Training	NON-Carcinogen	NON-Carcinogen
5	18523-69-8	O=[N+]([O-])c1oc(cc1)c2cnc(NN=C(C)C)s2	Training	Carcinogen	Carcinogen
6	75-05-8	N#CC	Training	NON-Carcinogen	NON-Carcinogen
7	127-06-0	ON=C(C)C	Test	Carcinogen	Carcinogen
8	34627-78-6	O=C(OC(C=C)c1ccc2OCOc2(c1))C	Training	Carcinogen	Carcinogen
9	4075-79-0	O=C(Nc1ccc(cc1)c2ccccc2)C	Test	Carcinogen	NON-Carcinogen
10	28314-03-6	O=C(Nc2cccc3c1ccccc1Cc23)C	Training	NON-Carcinogen	NON-Carcinogen
11	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	Carcinogen	Carcinogen
12	28322-02-3	O=C(Nc1cccc3c1c2ccccc2C3)C	Training	NON-Carcinogen	NON-Carcinogen
13	18699-02-0	O=C(O)Cc1ccc(cc1)NC(=O)C	Training	NON-Carcinogen	NON-Carcinogen
14	616-91-1	O=C(O)C(NC(=O)C)CS	Test	NON-Carcinogen	NON-Carcinogen
15	107-02-8	O=CC=C	Training	NON-Carcinogen	NON-Carcinogen
16	3054-95-3	O(CC)C(OCC)C=C	Training	NON-Carcinogen	NON-Carcinogen
17	5314-33-0	ON=CC=C	Training	NON-Carcinogen	Carcinogen
18	7008-42-6	O=C2c1ccccc1N(c3c4C=CC(Oc4(cc(OC)c23))(C)C)C	Training	Carcinogen	Carcinogen
19	79-06-1	O=C(N)C=C	Training	Carcinogen	Carcinogen
20	79-10-7	O=C(O)C=C	Training	NON-Carcinogen	Carcinogen
21	107-13-1	N#CC=C	Training	Carcinogen	Carcinogen
