Id	CAS	SMILES	Status	Experimental value	Predicted value
1	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Training	Carcinogen	Carcinogen
2	28322-02-3	O=C(Nc1cccc3c1c2ccccc2C3)C	Training	NON-Carcinogen	Carcinogen
3	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	NON-Carcinogen	Carcinogen
4	67-66-3	C(Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
5	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	Carcinogen	NON-Carcinogen
6	56-57-5	O=[N+]([O-])c1cc[n+]([O-])c2ccccc12	Training	Carcinogen	Carcinogen
7	91-59-8	Nc1ccc2ccccc2(c1)	Training	Carcinogen	Carcinogen
8	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Training	Carcinogen	Carcinogen
9	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	Carcinogen	Carcinogen
10	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	Carcinogen	Carcinogen
12	680-31-9	O=P(N(C)C)(N(C)C)N(C)C	Training	Carcinogen	NON-Carcinogen
13	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	Carcinogen	Carcinogen
14	96-45-7	N1C(NCC1)=S	Training	Carcinogen	Carcinogen
15	3068-88-0	O=C1OC(C)C1	Training	Carcinogen	Carcinogen
16	94-59-7	O1c2ccc(cc2(OC1))CC=C	Training	Carcinogen	Carcinogen
17	68-12-2	O=CN(C)C	Training	NON-Carcinogen	NON-Carcinogen
19	106-89-8	O1CC1CCl	Training	Carcinogen	Carcinogen
20	59-89-2	O=NN1CCOCC1	Training	Carcinogen	Carcinogen
21	101-21-3	O=C(OC(C)C)Nc1cccc(c1)Cl	Training	NON-Carcinogen	Carcinogen
22	57-57-8	O=C1OCC1	Training	Carcinogen	Carcinogen
23	71-55-6	CC(Cl)(Cl)Cl	Training	NON-Carcinogen	NON-Carcinogen
24	51-79-6	O=C(OCC)N	Training	Carcinogen	Carcinogen
25	79-44-7	O=C(N(C)C)Cl	Training	Carcinogen	Carcinogen
26	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Training	Carcinogen	Carcinogen
27	61-82-5	n1c[nH]nc1N	Training	Carcinogen	Carcinogen
28	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	Carcinogen	Carcinogen
29	592-62-1	O=C(OCN=[N+]([O-])C)C	Training	Carcinogen	Carcinogen
30	57-50-1	OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O)	Training	NON-Carcinogen	NON-Carcinogen
31	50-81-7	O=C1OC(C(O)=C1(O))C(O)CO	Training	NON-Carcinogen	NON-Carcinogen
32	636-21-5	Nc1ccccc1C	Training	Carcinogen	Carcinogen
33	492-80-8	N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	Carcinogen	Carcinogen
34	57-06-7	C(=NCC=C)=S	Training	Carcinogen	Carcinogen
35	2835-39-4	O=C(OCC=C)CC(C)C	Training	Carcinogen	NON-Carcinogen
36	2432-99-7	O=C(O)CCCCCCCCCCN	Training	Carcinogen	NON-Carcinogen
37	71-43-2	c1ccccc1	Training	Carcinogen	NON-Carcinogen
38	140-11-4	O=C(OCc1ccccc1)C	Training	NON-Carcinogen	NON-Carcinogen
39	2185-92-4	Nc1ccccc1c2ccccc2	Training	Carcinogen	Carcinogen
40	108-60-1	O(C(C)CCl)C(C)CCl	Training	Carcinogen	Carcinogen
41	106-99-0	C=CC=C	Training	Carcinogen	NON-Carcinogen
43	124-48-1	C(Cl)(Br)Br	Training	Carcinogen	Carcinogen
44	2832-40-8	O=C(Nc2ccc(N=Nc1cc(ccc1(O))C)cc2)C	Training	Carcinogen	Carcinogen
45	842-07-9	Oc2ccc3ccccc3(c2(N=Nc1ccccc1))	Training	Carcinogen	Carcinogen
46	21739-91-3	O=C([O-])C=C(C(=O)c1ccc(OC)cc1)Br	Training	Carcinogen	Carcinogen
48	96-12-8	C(C(CBr)Br)Cl	Training	Carcinogen	Carcinogen
49	106-93-4	C(CBr)Br	Training	Carcinogen	Carcinogen
50	609-20-1	Nc1cc(c(N)c(c1)Cl)Cl	Training	Carcinogen	Carcinogen
51	78-87-5	CC(CCl)Cl	Training	Carcinogen	Carcinogen
52	103-23-1	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Training	Carcinogen	Carcinogen
53	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	Carcinogen	Carcinogen
54	101-90-6	O(c2cccc(OCC1OC1)c2)CC3OC3	Training	Carcinogen	Carcinogen
55	140-88-5	O=C(OCC)C=C	Training	Carcinogen	NON-Carcinogen
56	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	Carcinogen	Carcinogen
57	19408-74-3	O1c3cc(c(c(c3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl)Cl	Training	NON-Carcinogen	Carcinogen
58	108-78-1	n1c(nc(nc1N)N)N	Training	Carcinogen	Carcinogen
