Id	CAS	SMILES	Status	Experimental value	Predicted value
1	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Training	Carcinogen	Carcinogen
2	67-66-3	C(Cl)(Cl)Cl	Training	Carcinogen	Possible NON-Carcinogen
3	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	Carcinogen	Carcinogen
4	56-57-5	O=[N+]([O-])c1cc[n+]([O-])c2ccccc12	Training	Carcinogen	Carcinogen
5	91-59-8	Nc1ccc2ccccc2(c1)	Training	Carcinogen	Carcinogen
6	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Training	Carcinogen	Carcinogen
7	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	Carcinogen	Carcinogen
8	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	Carcinogen	Carcinogen
9	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	Carcinogen	Carcinogen
10	96-45-7	N1C(NCC1)=S	Training	Carcinogen	Possible NON-Carcinogen
11	3068-88-0	O=C1OC(C)C1	Training	Carcinogen	Possible NON-Carcinogen
12	94-59-7	O1c2ccc(cc2(OC1))CC=C	Training	Carcinogen	Carcinogen
13	68-12-2	O=CN(C)C	Training	NON-Carcinogen	Possible NON-Carcinogen
14	67-21-0	O=C(O)C(N)CCSCC	Training	Carcinogen	Possible NON-Carcinogen
15	106-89-8	O1CC1CCl	Training	Carcinogen	Carcinogen
16	59-89-2	O=NN1CCOCC1	Training	Carcinogen	Carcinogen
17	101-21-3	O=C(OC(C)C)Nc1cccc(c1)Cl	Training	NON-Carcinogen	Carcinogen
18	57-57-8	O=C1OCC1	Training	Carcinogen	Possible NON-Carcinogen
19	71-55-6	CC(Cl)(Cl)Cl	Training	NON-Carcinogen	Possible NON-Carcinogen
20	51-79-6	O=C(OCC)N	Training	Carcinogen	Possible NON-Carcinogen
21	79-44-7	O=C(N(C)C)Cl	Training	Carcinogen	Possible NON-Carcinogen
22	61-82-5	n1c[nH]nc1N	Training	Carcinogen	Possible NON-Carcinogen
23	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	Carcinogen	Carcinogen
24	592-62-1	O=C(OC[N-][N+](=O)C)C	Training	Carcinogen	Carcinogen
25	50-81-7	O=C1C(O)=C(O)OC1C(O)CO	Training	NON-Carcinogen	Possible NON-Carcinogen
26	636-21-5	Nc1ccccc1C	Training	Carcinogen	Carcinogen
27	57-06-7	C(=NCC=C)=S	Training	Carcinogen	Carcinogen
28	2835-39-4	O=C(OCC=C)CC(C)C	Training	Carcinogen	Possible NON-Carcinogen
29	2432-99-7	O=C(O)CCCCCCCCCCN	Training	Carcinogen	Possible NON-Carcinogen
30	71-43-2	c1ccccc1	Training	Carcinogen	Possible NON-Carcinogen
31	2185-92-4	Nc1ccccc1c2ccccc2	Training	Carcinogen	Carcinogen
32	108-60-1	O(C(C)CCl)C(C)CCl	Training	Carcinogen	Possible NON-Carcinogen
33	106-99-0	C=CC=C	Training	Carcinogen	Possible NON-Carcinogen
34	124-48-1	C(Cl)(Br)Br	Training	Carcinogen	Possible NON-Carcinogen
35	2832-40-8	O=C2C=CC(=CC2(=NNc1ccc(cc1)NC(=O)C))C	Training	Carcinogen	Carcinogen
36	842-07-9	O=C3C=Cc1ccccc1C3(=NNc2ccccc2)	Training	Carcinogen	Carcinogen
37	21739-91-3	O=C(O)C=C(C(=O)c1ccc(OC)cc1)Br	Training	Carcinogen	Carcinogen
38	5160-02-1	O=C3C=Cc1ccccc1C3(=NNc2cc(c(cc2S(=O)(=O)O)Cl)C)	Training	Carcinogen	Carcinogen
39	96-12-8	C(C(CBr)Br)Cl	Training	Carcinogen	Possible NON-Carcinogen
40	106-93-4	C(CBr)Br	Training	Carcinogen	Possible NON-Carcinogen
41	609-20-1	Nc1cc(c(N)c(c1)Cl)Cl	Training	Carcinogen	Carcinogen
