Id	CAS	SMILES	Status	Experimental value	Predicted value
1	10-01-5	O=Cc1ccc(OCCCCCC)c(OC)c1	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
2	10-02-6	O=Cc1cc(c(O)c(OC)c1[N+](=O)[O-])Br	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
3	10-04-8	O=[N+]([O-])c2ccccc2(Oc1ccc(cc1)Cl)	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
4	10-05-9	O=CNc1cccc(c1C)Cl	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
5	10-06-0	O=C(OCCCC)c1cccc(c1)C(=O)OCCCC	Training	Toxic-1 (less than 1 mg/l)	Toxic-1 (less than 1 mg/l)
6	10-07-1	C#CC(O)(c1ccccc1)c2ccccc2	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
7	10-08-2	CCCSCCSCCC	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
8	10-11-7	CCCSCCCCSCCC	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
9	10-15-1	O=C(OCCCl)NC1CCCCC1	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
10	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
11	51-28-5	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
12	51-79-6	O=C(OCC)N	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
13	54-21-7	O=C(O)c1ccccc1(O)	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
14	55-21-0	O=C(N)c1ccccc1	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
15	57-14-7	NN(C)C	Training	Toxic-2 (between 1 and 10 mg/l)	NON-Toxic (more than 100 mg/l)
16	57-33-0	O=C1NC(=O)C(C(=O)N1)(CC)C(C)CCC	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
17	57-43-2	O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
18	58-08-2	O=C2c1c(ncn1C)N(C(=O)N2C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
19	58-27-5	O=C1C=C(C(=O)c2ccccc12)C	Training	Toxic-1 (less than 1 mg/l)	Toxic-1 (less than 1 mg/l)
20	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-1 (less than 1 mg/l)
21	59-50-7	Oc1ccc(c(c1)C)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
22	59-97-2	N1=C(NCC1)Cc2ccccc2	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
23	60-13-9	NC(C)Cc1ccccc1	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
24	60-29-7	O(CC)CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
25	60-41-3	O=C2N6c1ccccc1C57(CCN4CC3=CCOC(C2)C(C3CC45)C67)	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
26	62-53-3	Nc1ccccc1	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
27	63-25-2	O=C(Oc1cccc2ccccc12)NC	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
28	64-17-5	OCC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
29	65-30-5	n1cccc(c1)C2N(C)CCC2	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
30	65-45-2	O=C(N)c1ccccc1(O)	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
31	66-25-1	O=CCCCCC	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
32	66-76-2	O=C1Oc4ccccc4(C(O)=C1CC=2C(=O)Oc3ccccc3(C=2(O)))	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
33	67-36-7	O=Cc2ccc(Oc1ccccc1)cc2	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-2 (between 1 and 10 mg/l)
34	67-56-1	OC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
35	67-63-0	OC(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
36	67-64-1	O=C(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
37	67-66-3	C(Cl)(Cl)Cl	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
38	67-68-5	O=S(C)C	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
39	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	Toxic-2 (between 1 and 10 mg/l)	Toxic-3 (between 10 and 100 mg/l)
40	70-30-4	Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	Toxic-1 (less than 1 mg/l)	Toxic-1 (less than 1 mg/l)
41	70-69-9	O=C(c1ccc(N)cc1)CC	Training	NON-Toxic (more than 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
42	71-23-8	OCCC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
43	71-36-3	OCCCC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
44	71-41-0	OCCCCC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
45	71-43-2	c1ccccc1	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
46	71-55-6	CC(Cl)(Cl)Cl	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
47	71-73-8	O=C1NC(NC(=O)C1(CC)C(C)CCC)=S	Training	Toxic-3 (between 10 and 100 mg/l)	Toxic-3 (between 10 and 100 mg/l)
48	75-05-8	N#CC	Training	NON-Toxic (more than 100 mg/l)	NON-Toxic (more than 100 mg/l)
49	75-07-0	O=CC	Training	Toxic-3 (between 10 and 100 mg/l)	NON-Toxic (more than 100 mg/l)
