Id	CAS	SMILES	Status	Experimental value [log(1/(mmol/L))]	Predicted value [log(1/(mmol/L))]
1	000110-54-3	C(CCCC)C	Training	1.539	1.888746
2	000111-65-9	C(CCCCCC)C	Training	2.435	1.888746
3	000109-69-3	ClCCCC	Test	-0.02	1.07963
4	000111-85-3	ClCCCCCCCC	Training	2.38	2.269872
5	000075-09-2	ClCCl	Training	-0.565	0.220406
6	000075-34-3	C(Cl)(Cl)C	Test	-0.31	0.329673
7	000107-06-2	ClCCCl	Training	0.154	0.39679
8	000142-28-9	ClCCCCl	Test	0.083	1.467923
9	000078-87-5	ClCC(Cl)C	Training	-0.074	0.39679
10	000110-56-5	ClCCCCCl	Training	0.39	0.756516
11	000628-76-2	ClCCCCCCl	Test	0.748	0.756516
12	000067-66-3	C(Cl)(Cl)Cl	Test	0.343	0.220406
13	000071-55-6	C(Cl)(Cl)(Cl)C	Training	0.278	0.211757
14	000079-00-5	ClCC(Cl)Cl	Test	0.196	0.623332
15	000096-18-4	ClCC(Cl)CCl	Training	0.46	0.562438
16	000056-23-5	C(Cl)(Cl)(Cl)Cl	Test	0.835	0.220406
17	000079-34-5	C(C(Cl)Cl)(Cl)Cl	Training	0.844	0.831607
18	000076-01-7	C(C(Cl)Cl)(Cl)(Cl)Cl	Training	1.345	1.838896
19	000067-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	2.282	1.838896
20	000106-94-5	BrCCC	Training	0.261	-0.206666
21	000109-65-9	BrCCCC	Training	0.571	0.472965
22	000111-25-1	BrCCCCCC	Training	1.68	1.545898
23	000629-04-9	BrCCCCCCC	Training	2.088	1.30747
24	000111-83-1	BrCCCCCCCC	Test	2.362	2.484377
25	000109-64-8	BrCCCBr	Training	1.683	1.789508
26	000075-47-8	C(I)(I)I	Training	2.13	2.422108
27	000076-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	0.994	2.735648
28	000075-27-4	BrC(Cl)Cl	Training	0.767	0.220406
29	000124-48-1	BrC(Br)Cl	Test	0.421	0.220406
30	000096-12-8	BrCC(Br)CCl	Training	0.782	0.934023
31	000110-82-7	C(CCCC1)C1	Test	1.27	1.888746
32	000108-87-2	C(CCCC1)(C1)C	Training	1.67	1.888746
33	001678-91-7	CCC1CCCCC1	Test	2.175	1.888746
34	000099-82-1	C(CCC(C1)C(C)C)(C1)C	Test	2.868	1.888746
35	000091-17-8	C(C(CCC1)CCC2)(C1)C2	Training	2.572	2.536389
36	000281-23-2	C(CC(CC1CC23)C2)(C1)C3	Training	2.687	2.53851
37	000822-86-6	ClC1C(Cl)CCCC1	Training	0.92	0.756516
38	000112-41-4	C(=C)CCCCCCCCCC	Test	1.811	2.537458
39	000075-35-4	C(=C)(Cl)Cl	Training	0.333	0.329673
40	000156-59-2	C(=CCl)Cl	Test	0.16	1.467923
41	000079-01-6	C(=CCl)(Cl)Cl	Training	0.483	0.623332
42	000127-18-4	C(=C(Cl)Cl)(Cl)Cl	Test	1.146	0.831607
43	000110-83-8	C(=CCCC1)C1	Training	1.151	1.283446
44	000498-66-8	C1C2C=CC1CC2	Test	0.974	1.839447
45	000078-79-5	C(C=C)(=C)C	Test	0.657	1.152123
46	000592-46-1	CC=CC=CC	Training	0.61	1.152123
47	000513-81-5	C(C(=C)C)(=C)C	Training	1.078	1.152123
48	000764-13-6	C(=CC=C(C)C)(C)C	Training	1.546	1.152123
49	001647-16-1	C(=C)CCCCCCC=C	Test	2.679	1.283446
50	000100-40-3	C(=CCCC1C=C)C1	Training	1.371	1.283446
51	000111-78-4	C(=CCCC=CC1)C1	Test	0.92	1.283446
52	003048-65-5	C(C(C=C1)CC=C2)(C2)C1	Test	1.436	1.60052
53	000138-86-3	C(=CCC(C(=C)C)C1)(C1)C	Training	2.093	1.60052
54	016219-75-3	C(C(C=CC12)C1)(=CC)C2	Training	1.235	1.60052
55	000123-35-3	C(C=C)(=C)CCC=C(C)C	Test	2.17	1.152123
56	000542-75-6	C(=CCl)CCl	Training	1.869	1.467923
57	000760-23-6	C(C(Cl)CCl)=C	Training	0.917	0.39679
58	001871-57-4	C=C(CCl)CCl	Test	2.819	0.39679
59	000087-68-3	C(=C(C(=C(Cl)Cl)Cl)Cl)(Cl)Cl	Test	3.461	4.079119
60	000077-47-4	C(=C(C(=C1Cl)Cl)Cl)(C1(Cl)Cl)Cl	Training	4.29	4.079119
61	000067-56-1	OC	Test	-2.898	-1.252603
62	000064-17-5	OCC	Test	-2.542	-1.306331
63	000071-23-8	OCCC	Test	-1.88	-0.206666
64	000067-63-0	OC(C)C	Test	-2.16	-1.306331
65	000071-36-3	OCCCC	Test	-1.365	0.117654
66	000078-92-2	OC(CC)C	Training	-1.69	-1.306331
67	000075-65-0	OC(C)(C)C	Training	-1.809	-1.306331
68	000078-83-1	OCC(C)C	Training	-1.275	-1.306331
69	000584-02-1	OC(CC)CC	Training	-1.05	-0.089341
70	000071-41-0	OCCCCC	Test	-0.73	0.117654
71	000111-27-3	OCCCCCC	Test	0.02	0.117654
72	000077-74-7	OC(CC)(CC)C	Training	-0.819	-1.306331
73	000600-36-2	OC(C(C)C)C(C)C	Test	-0.149	-1.306331
74	000111-70-6	OCCCCCCC	Training	0.669	1.30747
