Id	CAS	SMILES	Status	Experimental value	Predicted value
1	50-00-0	O=C	Test	0.35	-0.0975
2	50-02-2	O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C)	Test	1.89	1.6418
3	50-03-3	O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(O)CC23(C))))C	Test	2.19	1.596
4	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Test	1.47	1.3207
5	50-07-7	O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	Test	-0.4	-1.8268
6	50-11-3	O=C1NC(=O)C(C(=O)N1C)(CC)CC	Test	1.15	0.9506
7	50-12-4	O=C2NC(c1ccccc1)(C(=O)N2C)CC	Test	1.69	1.6
8	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Test	0.63	0.1444
9	50-21-5	O=C(O)C(O)C	Test	-0.72	-0.311
10	50-22-6	O=C3C=C2CCC1C4CCC(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Test	1.94	1.9524
11	50-23-7	O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Test	1.61	1.2169
12	50-24-8	O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C)	Test	1.62	1.1937
13	50-27-1	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34)	Test	2.45	2.8458
14	50-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Test	4.01	3.8127
15	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Test	6.91	6.3311
16	50-30-6	O=C(O)c1c(cccc1Cl)Cl	Test	2.23	2.7632
17	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Test	6.13	4.8536
18	50-35-1	O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3	Test	0.33	0.2038
19	50-36-2	O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3	Test	2.3	2.1187
