Id	CAS	SMILES	Status	Experimental value	Predicted value
1	50-00-0	O=C	Test	0.35	-0.959
2	50-02-2	O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C)	Test	1.89	1.8545722
3	50-03-3	O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(O)CC23(C))))C	Test	2.19	2.0015585
4	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Test	1.47	1.1849167
5	50-07-7	O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	Test	-0.4	-0.9594786
6	50-11-3	O=C1NC(=O)C(C(=O)N1C)(CC)CC	Test	1.15	0.5678118
7	50-12-4	O=C2NC(c1ccccc1)(C(=O)N2C)CC	Test	1.69	1.6490949
8	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Test	0.63	1.9656682
9	50-21-5	O=C(O)C(O)C	Test	-0.72	-0.7026908
10	50-22-6	O=C3C=C2CCC1C4CCC(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Test	1.94	2.4059176
11	50-23-7	O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Test	1.61	1.6182538
12	50-24-8	O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C)	Test	1.62	1.5278885
13	50-27-1	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34)	Test	2.45	2.7989073
14	50-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Test	4.01	3.6346874
15	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Test	6.91	6.166034
16	50-30-6	O=C(O)c1c(cccc1Cl)Cl	Test	2.23	2.886721
17	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Test	6.13	5.4069614
18	50-35-1	O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3	Test	0.33	0.19897862
19	50-36-2	O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3	Test	2.3	2.4135716
20	50-37-3	O=C(N(CC)CC)C4C=C3c2cccc1[nH]cc(c12)CC3N(C)C4	Test	2.95	2.2503407
21	50-47-5	c1ccc3c(c1)N(c2ccccc2CC3)CCCNC	Test	4.9	3.4999006
22	50-48-6	c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3	Test	4.92	4.7607403
23	50-49-7	c1ccc3c(c1)N(c2ccccc2CC3)CCCN(C)C	Test	4.8	3.732245
24	50-52-2	c1ccc3c(c1)N(c2cc(ccc2S3)SC)CCC4N(C)CCCC4	Test	5.9	4.058741
25	50-67-9	Oc1ccc2[nH]cc(c2(c1))CCN	Test	0.21	0.9204187
26	50-70-4	OCC(O)C(O)C(O)C(O)CO	Test	-2.72	-2.4969065
27	50-71-5	O=C1NC(=O)C(=O)C(=O)N1	Test	-1.84	-2.0856168
28	50-78-2	O=C(O)c1ccccc1(OC(=O)C)	Test	1.19	1.7012029
29	50-79-3	O=C(O)c1cc(ccc1Cl)Cl	Test	2.82	2.886721
30	50-85-1	O=C(O)c1ccc(cc1(O))C	Test	2.99	1.4657326
31	50-86-2	O=C(O)c1ccc(cc1(O))NC(=O)C	Test	1.62	0.7755391
32	50-89-5	O=C1NC(=O)N(C=C1C)C2OC(CO)C(O)C2	Test	-0.93	-0.65989554
33	50-91-9	O=C1NC(=O)N(C=C1(F))C2OC(CO)C(O)C2	Test	-1.16	-0.8099906
34	51-03-6	O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC	Test	4.75	1.9657577
35	51-06-9	O=C(NCCN(CC)CC)c1ccc(N)cc1	Test	0.88	1.7168168
36	51-12-7	O=C(NNCCC(=O)NCc1ccccc1)c2ccncc2	Test	0.87	1.1585362
37	51-17-2	n1c[nH]c2ccccc12	Test	1.32	1.3460809
38	51-28-5	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Test	1.67	1.2184927
39	51-34-3	O=C(OC1CC3N(C)C(C1)C2OC23)C(c4ccccc4)CO	Test	0.98	1.419479
40	51-35-4	O=C(O)C1NCC(O)C1	Test	-3.17	-1.0399991
41	51-36-5	O=C(O)c1cc(cc(c1)Cl)Cl	Test	3.0	2.886721
42	51-41-2	Oc1ccc(cc1(O))C(O)CN	Test	-1.24	-0.06373267
43	51-43-4	Oc1ccc(cc1(O))C(O)CNC	Test	-1.37	0.2534756
44	51-44-5	O=C(O)c1ccc(c(c1)Cl)Cl	Test	3.25	2.886721
45	51-45-6	n1c[nH]cc1CCN	Test	-0.7	-0.33962834
46	51-55-8	O=C(OC2CC1N(C)C(CC1)C2)C(c3ccccc3)CO	Test	1.83	2.2071428
47	51-61-6	Oc1ccc(cc1(O))CCN	Test	-0.98	0.74409777
48	51-66-1	O=C(Nc1ccc(OC)cc1)C	Test	1.03	1.3769408
49	51-75-2	N(C)(CCCl)CCCl	Test	0.91	1.9403353
50	51-79-6	O=C(OCC)N	Test	-0.15	0.109309204
51	52-01-7	O=C1OC3(CC1)(CCC2C5C(CCC23(C))C4(C(=CC(=O)CC4)CC5SC(=O)C)(C))	Test	2.52	3.7723157
52	52-24-4	N1(CC1)P(N2CC2)(N3CC3)=S	Test	0.53	0.55154485
53	52-31-3	O=C1NC(=O)C(C(=O)N1)(C2=CCCCC2)CC	Test	1.77	1.3533386
54	52-43-7	O=C1NC(=O)C(C(=O)N1)(CC=C)CC=C	Test	1.15	0.6949244
55	52-44-8	O=C1NC(=O)C2(C(=O)N1)(CCCCC2)	Test	0.91	0.5678118
56	52-45-9	O=C1NC(NC(=O)C12(CCCCC2))=S	Test	1.78	0.54347557
57	52-52-8	O=C(O)C1(N)(CCCC1)	Test	-2.28	0.14554487
58	52-53-9	N#CC(c1ccc(OC)c(OC)c1)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C	Test	3.79	3.229699
59	52-68-6	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Test	0.51	0.48893556
